tecnico;fecha_inicio;fecha_vencimiento;estado;tipo_licencia
11;;2/03/2027;ACTIVO;A2
13;;30/01/2030;ACTIVO;A2
12;;13/08/2026;ACTIVO;A2
15;;20/08/2029;ACTIVO;A2
16;;28/01/2031;ACTIVO;A2
17;;6/04/2027;ACTIVO;A2
18;;21/02/2034;ACTIVO;A2
19;;12/04/2033;ACTIVO;A2
20;;14/08/2026;ACTIVO;A2
21;;0;ACTIVO;A2
22;;26/11/2029;ACTIVO;A2
23;;11/07/2029;ACTIVO;A2
24;;21/06/2033;ACTIVO;A2
28;;18/10/2026;ACTIVO;A2
29;;3/02/2032;ACTIVO;A2
33;;6/01/2032;ACTIVO;A2
34;;18/09/2027;ACTIVO;A2
35;;6/02/2027;ACTIVO;A2
36;;30/06/2031;ACTIVO;A2
37;;7/06/2028;ACTIVO;A2
38;;30/05/2033;ACTIVO;A2
39;;24/11/2030;ACTIVO;A2
40;;7/10/2030;ACTIVO;A2
41;;14/06/2032;ACTIVO;A2
42;;17/03/2027;ACTIVO;A2
43;;7/01/2033;ACTIVO;A2
44;;22/04/2027;ACTIVO;A2
45;;22/03/2033;ACTIVO;A2
46;;26/10/2028;ACTIVO;A2
47;;11/01/2033;ACTIVO;A2
48;;27/10/2032;ACTIVO;A2
49;;9/06/2033;ACTIVO;A2
50;;17/06/2033;ACTIVO;A2
52;;6/02/2026;ACTIVO;A2
53;;26/07/2033;ACTIVO;A2
54;;13/02/2034;ACTIVO;A2
55;;26/04/2026;ACTIVO;A2
56;;23/11/2034;ACTIVO;A2
57;;16/07/2030;ACTIVO;A2
58;;5/03/2032;ACTIVO;A2
59;;1/06/2029;ACTIVO;A2
60;;16/08/2026;ACTIVO;A2
61;;12/04/2026;ACTIVO;A2
62;;27/10/2031;ACTIVO;A2
64;;17/12/2028;ACTIVO;A2
66;;9/04/2031;ACTIVO;A2
67;;9/09/2026;ACTIVO;A2
69;;24/04/2027;ACTIVO;A2
70;;30/05/2035;ACTIVO;A2
71;;6/01/2032;ACTIVO;A2
72;;3/07/2029;ACTIVO;A2
73;;16/02/2034;ACTIVO;A2
75;;12/01/2032;ACTIVO;A2
76;;1/11/2028;ACTIVO;A2
77;;29/04/2035;ACTIVO;A2
78;;19/01/2032;ACTIVO;A2
80;;16/06/2033;ACTIVO;A2
82;;26/12/2027;ACTIVO;A2
84;;23/04/2028;ACTIVO;A2
85;;30/06/2026;ACTIVO;A2
86;;1/02/2033;ACTIVO;A2
90;;29/05/2034;ACTIVO;A2
92;;21/10/2034;ACTIVO;A2
93;;29/06/2026;ACTIVO;A2
94;;30/05/2031;ACTIVO;A2
95;;29/06/2033;ACTIVO;A2
96;;27/06/2033;ACTIVO;A2
99;;21/06/2033;ACTIVO;A2
100;;28/06/2033;ACTIVO;A2
101;;26/03/2026;ACTIVO;A2
102;;31/03/2027;ACTIVO;A2
104;;6/10/2028;ACTIVO;A2
108;;13/05/2032;ACTIVO;A2
109;;21/06/2033;ACTIVO;A2
110;;30/11/2031;ACTIVO;A2
113;;13/07/2027;ACTIVO;A2
115;;16/09/2027;ACTIVO;A2
116;;24/11/2031;ACTIVO;A2
117;;10/04/2031;ACTIVO;A2
118;;30/05/2031;ACTIVO;A2
119;;21/09/2026;ACTIVO;A2
120;;22/01/2034;ACTIVO;A2
121;;24/07/2028;ACTIVO;A2
122;;24/12/2034;ACTIVO;A2
123;;31/10/2025;ACTIVO;A2
124;;12/09/2034;ACTIVO;A2
126;;6/11/2028;ACTIVO;A2
127;;23/02/2033;ACTIVO;A2
128;;4/09/2026;ACTIVO;A2
129;;20/09/2029;ACTIVO;A2
131;;19/09/2038;ACTIVO;A2
132;;16/06/2035;ACTIVO;A2
133;;1/03/2027;ACTIVO;A2
134;;11/05/2031;ACTIVO;A2
135;;26/02/2029;ACTIVO;A2
136;;28/11/2034;ACTIVO;A2
137;;6/03/2035;ACTIVO;A2
138;;2/09/2026;ACTIVO;A2
139;;26/01/2033;ACTIVO;A2
140;;24/01/2032;ACTIVO;A2
12346;;16/09/2034;ACTIVO;A2
12347;;9/11/2033;ACTIVO;A2
12350;;19/01/2035;ACTIVO;A2
12355;;11/09/2034;ACTIVO;A2
12358;;23/06/2033;ACTIVO;A2
12359;;24/12/2028;ACTIVO;A2
